#sortabletable(|String|String|String|Number|String|String|String|String|Number|Number|Number|Number|Number|String|String|String,1){{
|~画像|~名前|~属性|~武器種|~適正&br;Rank|~奥義|~第1スキル|~第2スキル|~第3スキル|~MAX&br;Lv|~Min&br;HP|~Min&br;ATK|~Max&br;HP|~Max&br;ATK|~武器シリーズ/分類|~カテゴリ1&br;(関連コンテンツ)|~カテゴリ2&br;(詳細・その他)|h
|&attachref(img/1040004700.png,15%);|ディープデザイア|COLOR(brown):土|剣|15|[[フラットサースト>武器奥義#flatthirst]]|[[地裂の攻刃>スキル一覧#tiretunokoujin]]|[[奈落の守護>スキル一覧#narakunosyugo]]|||38|420|221|2555|[[キャラ解放武器>武器概要/キャラ解放武器(SSR)]]|レジェンドガチャ(期間限定)|[[ヴィーラ (SSR)水着バージョン]]加入|
|&attachref(img/1040004800.png,15%);|大地の剣|COLOR(brown):土|剣|40|[[スレートウォール>武器奥義#slatewall]]|[[巨人の守護>スキル一覧#kyojinnnosyugo]]|[[先制の岩壁>スキル一覧#senseinogannpeki]]|||32|351|190|2201|[[四象武器(特殊スキル)>武器概要/四象武器]]|イベント/四象降臨|－|
|&attachref(img/1040004900.png,10%);|オブシダンソード|COLOR(purple):闇|剣|1|[[ブラックサージ>武器奥義#blacksurge]]|[[先制の黒の結界>スキル一覧#senseinokuro]]||||23|335|164|1980|特典|ポイントショップ|ヴィラ・デ・シェロカルテ ～集え！千客万来の島～&br;[[Vポイント交換>ポイントショップ]]|
|&attachref(img/1040005000.png,15%);|[[ウットリュフ串>武器/ウットリュフ串 (SSR)]]|COLOR(brown):土|剣|10|[[マイコニドの山>武器奥義#maikonidnoyama]]|[[大地の攻刃>スキル一覧#daichinokoujin]]|[[土の守護>スキル一覧#tutinosyugo]]|||29|320|174|2020|[[シナリオイベント武器>武器概要/シナリオイベント武器]]|イベント/シナリオイベント|山駆ける少女 ～幻の味覚を求めて～|
|&attachref(img/1040005800.png,15%);|[[グラム>武器/グラム (SSR)]]|COLOR(purple):闇|剣|20|[[ヴォルスンガ・サガ++>武器奥義#volsunga]]|[[奈落の背水>スキル一覧#narakunohaisui]]|[[闇の克己>スキル一覧#yaminokokki]]||150|33|455|260|3060|[[キャラ解放武器>武器概要/キャラ解放武器(SSR)]]|レジェンドガチャ|[[ベアトリクス (SSR)]]加入|
|&attachref(img/1040005900.png,15%);|光の剣|COLOR(purple):闇|剣|10|[[烈光の剣>武器奥義#rekkounoken]]|[[烈光の至恩>スキル一覧#rekkounosion]]||||23|350|167|2045|[[シナリオイベント武器>武器概要/シナリオイベント武器]]|イベント/コラボイベント|スレイヤーズまぐな|
|&attachref(img/1040006000.png,15%);|ブラスト・ソード|COLOR(blue):水|剣|10|[[斬妖剣>武器奥義#zanyouken]]|[[自動辻斬装置>スキル一覧#jidoutujigiri]]||||31|310|176|2010|[[シナリオイベント武器>武器概要/シナリオイベント武器]]|イベント/コラボイベント|スレイヤーズまぐな|
|&attachref(img/1040006100.png,15%);|[[オーラフラジェルム>武器/オーラフラジェルム (SSR)]]|COLOR(orange):光|剣|30|[[サインクラッド++>武器奥義#signclad]]|[[雷電の無双>スキル一覧#raidennomusou]]|[[雷電の守護>スキル一覧#raidennnosyugo]]||150|38|450|280|3250|[[キャラ解放武器>武器概要/キャラ解放武器(SSR)]]|レジェンドガチャ|[[フェリ (SSR)]]加入|
|&attachref(img/1040007000.png,15%);|[[オールド・エッケザックス>武器/オールド・エッケザックス (SSR)]]|COLOR(red):火|剣|60|[[ドゥルガー・マウナ++>武器奥義#drgamauna]]|[[機炎方陣・刹那II>スキル一覧#kienhoujinsetuna2]]|[[機炎方陣・背水>スキル一覧#kienhoujinhaisui]]||150|106|278|800|2030|[[オールド・プライマルシリーズ>武器概要/召喚石マルチバトル武器]]|マルチバトル/召喚石マルチ(降臨、調停の翼)|フラム＝グラス討伐戦|
|&attachref(img/1040007100.png,15%);|[[エッケザックス>武器/エッケザックス (SSR)]]|COLOR(red):火|剣|60|[[ドゥルガー・マウナ++>武器奥義#drgamauna]]|[[業火の刹那II>スキル一覧#goukanosetuna2]]|[[火の背水>スキル一覧#hinohaisui]]||150|106|278|800|2030|[[プライマルシリーズ>武器概要/召喚石マルチバトル武器]]|マルチバトル/召喚石マルチ(降臨、調停の翼)|フラム＝グラス討伐戦|
|&attachref(img/1040007200.png,15%);|シュヴァリエソード・マグナ|COLOR(orange):光|剣|50|[[光の刃++>武器奥義#hikarinoyaibaend]]|[[騎解方陣・神威>スキル一覧#kikaihoujinkamui]]|[[光の攻刃>スキル一覧#hikarinokoujin]]||200|31|370|228|2660|[[マグナシリーズ>武器概要/マグナシリーズ]]|マルチバトル/マグナボス|[[シュヴァリエ・マグナ討伐戦>NORMALマルチバトル攻略法/マグナボス#l244cd6c]]|
|&attachref(img/1040007300.png,15%);|ショロトルリッパー|COLOR(green):風|剣|10|[[彼方ヘノ遠吠エ>武器奥義#kanataheno]]|[[竜巻の攻刃>スキル一覧#tatumakinokoujin]]|[[風の技巧>スキル一覧#kazenogikou]]|||23|350|168|2050|[[シナリオイベント武器>武器概要/シナリオイベント武器]]|[[サイドストーリー]]|舞い歌う五花|
|&attachref(img/1040007500.png,15%);|[[エクスカリバー>武器/エクスカリバー (SSR)]]|COLOR(red):火|剣|50|[[王の剣>武器奥義#ounoturugi]]|[[紅蓮の堅守>スキル一覧#gurennokensyu]]|[[王道を征く者>スキル一覧#oudouwoyukumono]]|||41|475|244|2848|[[スペリオルシリーズ>武器概要/スペリオルシリーズ]]|ムーン交換|ゴールドムーン×100|
|&attachref(img/1040007500.png,15%);|[[エクスカリバー>武器/エクスカリバー (SSR)]]|COLOR(blue):水|剣|50|[[王の剣>武器奥義#ounoturugi]]|[[霧氷の堅守>スキル一覧#muhyounokensyu]]|[[王道を征く者>スキル一覧#oudouwoyukumono]]|||41|475|244|2848|[[スペリオルシリーズ>武器概要/スペリオルシリーズ]]|ムーン交換|ゴールドムーン×100|
|&attachref(img/1040007500.png,15%);|[[エクスカリバー>武器/エクスカリバー (SSR)]]|COLOR(brown):土|剣|50|[[王の剣>武器奥義#ounoturugi]]|[[地裂の堅守>スキル一覧#tiretsunokensyu]]|[[王道を征く者>スキル一覧#oudouwoyukumono]]|||41|475|244|2848|[[スペリオルシリーズ>武器概要/スペリオルシリーズ]]|ムーン交換|ゴールドムーン×100|
|&attachref(img/1040007500.png,15%);|[[エクスカリバー>武器/エクスカリバー (SSR)]]|COLOR(green):風|剣|50|[[王の剣>武器奥義#ounoturugi]]|[[乱気の堅守>スキル一覧#rannkinokensyu]]|[[王道を征く者>スキル一覧#oudouwoyukumono]]|||41|475|244|2848|[[スペリオルシリーズ>武器概要/スペリオルシリーズ]]|ムーン交換|ゴールドムーン×100|
|&attachref(img/1040007500.png,15%);|[[エクスカリバー>武器/エクスカリバー (SSR)]]|COLOR(orange):光|剣|50|[[王の剣>武器奥義#ounoturugi]]|[[天光の堅守>スキル一覧#tennkounokensyu]]|[[王道を征く者>スキル一覧#oudouwoyukumono]]|||41|475|244|2848|[[スペリオルシリーズ>武器概要/スペリオルシリーズ]]|ムーン交換|ゴールドムーン×100|
|&attachref(img/1040007500.png,15%);|[[エクスカリバー>武器/エクスカリバー (SSR)]]|COLOR(purple):闇|剣|50|[[王の剣>武器奥義#ounoturugi]]| [[奈落の堅守>スキル一覧#narakunokensyu]]|[[王道を征く者>スキル一覧#oudouwoyukumono]]|||41|475|244|2848|[[スペリオルシリーズ>武器概要/スペリオルシリーズ]]|ムーン交換|ゴールドムーン×100|
|&attachref(img/1040008000.png,15%);|[[ソード・オブ・コスモス>武器/ソード・オブ・コスモス (SSR)]]|COLOR(orange):光|剣|80|[[メディエーションスラッシュ＋>武器奥義#medislash]]|[[ソード・オブ・コスモス>スキル一覧#socosmos]]|[[秩序の蒼剣(習得Lv150)>スキル一覧#titujonosouken]]||150|34|398|211|2458|[[コスモスシリーズ>武器概要/コスモスシリーズ]]|マルチバトル/降臨、調停の翼|ディール/トレジャー交換|
|&attachref(img/1040008500.png,15%);|コートシップ・ブーケ|COLOR(red):火|剣|10|[[プロポーズ>武器奥義#propose]]|[[紅蓮の攻刃>スキル一覧#gurennokoujin]]||||27|332|174|2020|[[シナリオイベント武器>武器概要/シナリオイベント武器]]|[[サイドストーリー]]|とりまトッポブで。|
|&attachref(img/1040008600.png,15%);|[[ディスペアー>武器/ディスペアー (SSR)]]|COLOR(purple):闇|剣|25|[[ダークダウン++>武器奥義#darkdown]]|[[絶望の胎動>スキル一覧#zetsubounotaidou]]|[[天光の攻刃>スキル一覧#tenkounokoujin]]||150|34|460|260|3100|[[キャラ解放武器>武器概要/キャラ解放武器(SSR)]]|レジェンドガチャ|[[ジャンヌダルク (SSR)闇属性バージョン]]加入|
|&attachref(img/1040008700.png,15%);|[[ブルトガング>武器/ブルトガング (SSR)]]|COLOR(purple):闇|剣|40|[[無明剣>武器奥義#mumeiken]]|[[奈落の攻刃III>スキル一覧#narakunokoujin3]]|[[闇の刹那>スキル一覧#yaminosetsuna]]||150|36|480|280|3370|[[リミテッドシリーズ>武器概要/リミテッドシリーズ]]|レジェンドガチャ(グランデフェス)|[[黒騎士(リミテッド)>黒騎士 (SSR)]]加入|
|&attachref(img/1040008800.png,15%);|S・D|COLOR(red):火|剣|10|[[殺劇舞荒剣>武器奥義#satugekibukouken]]|[[エクシード>スキル一覧#exceed]]||||26|335|170|2025|[[シナリオイベント武器>武器概要/シナリオイベント武器]]|[[サイドストーリー]](コラボ)|空で紡ぐ絆の物語|
|&attachref(img/1040008900.png,15%);|[[青竜髭刃>武器/青竜髭刃 (SSR)]]|COLOR(green):風|剣|1|[[四象雲流嵐吹・東青++>武器奥義#tousei]]|[[乱気の疾駆・壱>スキル一覧#rannkinosikku1]]|[[乱気の攻刃>スキル一覧#rannkinokoujin]]||150|26|320|200|2290|[[四象武器(四属性)>武器概要/四象武器]]|イベント/四象降臨|－|
|&attachref(img/1040009000.png,15%);|アントウェルペン|COLOR(red):火|剣|10|[[カイザーブレイズ>武器奥義#kaizerblaze]]|[[紅蓮の攻刃>スキル一覧#gurennokoujin]]|[[先制の炎刃>スキル一覧#sennseinoennjinn]]|||32|440|210|2535|[[キャラ解放武器>武器概要/キャラ解放武器(SSR)]]|レジェンドガチャ(期間限定)|[[パーシヴァル (SSR)水着バージョン]]加入|
|&attachref(img/1040009200.png,15%);|[[パラスの剣>武器/パラスの剣 (SSR)]]|COLOR(red):火|剣|60|[[メーティススラスト++>奥義一覧#metisthrust]]|[[紅蓮の攻刃>スキル一覧#gurennokoujin]]|[[業火の守護>スキル一覧#goukanosyugo]]||150|30|387|232|2734|[[プライマルシリーズ>武器概要/召喚石マルチバトル武器]]|マルチバトル/召喚石マルチ(神撃・究極の竜)|アテナ討伐戦|
|&attachref(img/1040009300.png,15%);|[[ナーゲルリング>武器/ナーゲルリング (SSR)]]|COLOR(blue):水|剣|10|[[アングリム>武器奥義#ungrim]]|[[霧氷の攻刃>スキル一覧#muhyounokoujin]]|[[水の技巧>スキル一覧#mizunogikou]]|||38|410|217|2500|[[キャラ解放武器>武器概要/キャラ解放武器(SSR)]]|レジェンドガチャ|[[イシュミール (SSR)]]加入|
|&attachref(img/1040009400.png,15%);|イイルクーン|COLOR(green):風|剣|10|[[ワザリングハイツ>武器奥義#wazaring]]|[[乱気の技巧>スキル一覧#rannkinogikou]]|[[竜巻の羅刹>スキル一覧#tatumakinorasetu]]|||36|425|216|2520|[[キャラ解放武器>武器概要/キャラ解放武器(SSR)]]|レジェンドガチャ|[[ユイシス (SSR)]]加入|
|&attachref(img/1040009500.png,15%);|カースドブレイド|COLOR(purple):闇|剣|10|[[ダークティアーズ>武器奥義#darktears]]|[[ダークドレイン>スキル一覧#darkdrain]]|[[カースドテンタクル>スキル一覧#cursedtentacle]]|||22|355|166|2050|[[シナリオイベント武器>武器概要/シナリオイベント武器]]|[[サイドストーリー]]|神立、笠雲の合間に閃きて|
|&attachref(img/1040009700.png,15%);|ローズクリスタルソード|COLOR(blue):水|剣|60|[[ドミネイションブレード>奥義一覧#dominationblade]]|[[蒼薔薇の棘>スキル一覧#aobaranotoge]]|[[蒼薔薇の花弁>スキル一覧#aobaranokaben]]|||34|365|204|2320|[[ローズシリーズ>武器概要/ローズシリーズ]]|マルチバトル/ローズクイーン討伐戦HL|トレジャー交換|
|&attachref(img/1040009800.png,15%);|銀の依代の剣|COLOR(orange):光|剣|1|[[銀の瞬き>武器奥義#ginnomatataki]]|[[残夢の匣>スキル一覧#zanmunohako]]|無し||100|22|297|148|2080|依代武器|エクストラクエスト/ディメンション・ヘイロー|－|
|&attachref(img/1040009900.png,15%);|黄金の依代の剣|COLOR(orange):光|剣|1|[[黄金の瞬き>武器奥義#ougonomatataki]]|[[鼓動>スキル一覧#kodou]]|無し||100|22|307|152|2155|依代武器|銀の依代武器を特殊武器強化|－|
|&attachref(img/1040010000.png,15%);|麒麟剣|COLOR(purple):闇|剣|80|[[黒召刃++>奥義一覧#kokusyoujindown]]|[[靂天の暗雲>スキル一覧#rekitennoanun]]|[[靂天の黒鱗>スキル一覧#rekitennokokurin]]||200|30|420|241|2895|[[四象武器(光闇)>武器概要/四象武器]]|マルチバトル/黄龍・黒麒麟|トレジャー交換|
|&attachref(img/1040011000.png,15%);|フェアネスマーク|COLOR(orange):光|剣|10|[[光臨剣>武器奥義#kourinken]]|[[天光の攻刃>スキル一覧#tennkounokoujin]]|[[先制の白壁>スキル一覧#senseinohakuheki]]|||43|395|246|2390|[[キャラ解放武器>武器概要/キャラ解放武器(SSR)]]|レジェンドガチャ|[[バウタオーダ (SSR)]]加入|
|&attachref(img/1040011100.png,15%);|プロトタイプ|COLOR(purple):闇|剣|10|[[レギンレイヴ>武器奥義#reginrave]]|[[奈落の攻刃>スキル一覧#narakunokoujin]]|[[空と星を繋ぐ者>スキル一覧#sorahosi]]|||32|445|210|2550|特典|購入特典|アニメBlu-ray&DVD Vol.4特典|
|&attachref(img/1040011200.png,15%);|[[聖域の守護剣>武器/聖域の守護剣 (SSR)]]|COLOR(blue):水|剣|60|[[レゾナンス・メロディ>武器奥義#resonancemelody]]|[[霧氷の攻刃II>スキル一覧#muhyounokoujin2]]|[[チェインフォース>スキル一覧#chainforce]]||150|34|367|202|2332|[[エピックウェポン>武器概要/エピックウェポン]]|マルチバトル/エピックHL|カー・オンHL|
|&attachref(img/1040012500.png,15%);|パーマフロスト・ソード|COLOR(blue):水|剣|10|[[氷の剣>武器奥義#kourinoken]]|[[霧氷の攻刃>スキル一覧#muhyounokoujin]]|[[水の秘奥>スキル一覧#mizunohioku]]|||33|435|205|2575|[[キャラ解放武器>武器概要/キャラ解放武器(SSR)]]|レジェンドガチャ(期間限定)|[[イシュミール (SSR)水着バージョン]]加入|
|&attachref(img/1040014000.png,15%);|ハイリゲスシュヴェールト|COLOR(green):風|剣|10|[[ソード・オブ・フェードラッヘ>武器奥義#swordof]]|[[乱気の攻刃>スキル一覧#rannkinokoujin]]|[[竜巻の二手>スキル一覧#tatumakinonite]]|||36|420|215|2510|[[キャラ解放武器>武器概要/キャラ解放武器(SSR)]]|レジェンドガチャ|[[ランスロット (SSR)風属性バージョン]]加入|
|&attachref(img/1040014100.png,15%);|ウィルムスウォード|COLOR(brown):土|剣|10|[[竜鱗剣>武器奥義#ryuurinken]]|[[竜伐の覇気>スキル一覧#ryuubatunohaki]]|[[竜伐の心得>スキル一覧#ryuubatunokokoroe]]|||30|315|175|2015|[[シナリオイベント武器>武器概要/シナリオイベント武器]]|イベント/シナリオイベント|ふたりの騎士道|
|&attachref(img/1040014200.png,15%);|スナップブレード|COLOR(green):風|剣|10|[[クリンゲントルナード>武器奥義#klingen]]|[[肉削ぐ撓刃>スキル一覧#nikusogu]]|[[立体機動戦術>スキル一覧#rittaikidousenjutu]]|||20|362|137|2199|[[シナリオイベント武器>武器概要/シナリオイベント武器]]|イベント/コラボイベント|進撃の巨人 ～タイタニック・イェーガー ～|
|&attachref(img/1040014300.png,15%);|[[フォールン・ソード>武器/フォールン・ソード (SSR)]]|COLOR(purple):闇|剣|40|[[フォールン・スラッシュ>武器奥義#fallenslash]]|[[奈落の攻刃II>スキル一覧#narakunokoujin2]]|||150|36|476|241|2750|[[リミテッドシリーズ>武器概要/リミテッドシリーズ]]|レジェンドガチャ(グランデフェス)|[[オリヴィエ (SSR)]]加入|
|&attachref(img/1040015000.png,15%);|[[ブラフマンシミター>武器/ブラフマンシミター (SSR)]]|COLOR(red):火|剣|120|[[ルドラ>武器奥義#rudola]]|[[機炎方陣・無双>スキル一覧#kienmusou]]|[[機炎方陣・守護>スキル一覧#kiensyugo]]||150|30|387|198|2342|[[レガリアシリーズ>武器概要/レガリアシリーズ]]|マルチバトル/マグナIIHL|シヴァHL|
|&attachref(img/1040015100.png,15%);|[[リバーススレッド>武器/リバーススレッド (SSR)]]|COLOR(orange):光|剣|10|[[チェインアライヴ>武器奥義#chainalive]]|[[天の理>スキル一覧#tennokotowari]]|[[セラフ・アッシャー>スキル一覧#serafassher]]|||28|324|173|2017|[[シナリオイベント武器>武器概要/シナリオイベント武器]]|[[サイドストーリー]]|『失楽園』どうして空は蒼いのか Part.II|
|&attachref(img/1040015200.png,15%);|[[セフィラの翠剣>武器/セフィラの翠剣 (SSR)]]|COLOR(green):風|剣|60|[[フォービドゥンスラッシュ>武器奥義#forbiddenslash]]|[[嵐竜方陣・攻刃II>スキル一覧#arashiryuuhoujinkoujin2]]|[[セフィラテック・ウィンド>スキル一覧#sefiraticwind]]|| |31|385|199|2340|[[セフィリアン・オールドウェポン>武器概要/セフィリアン・オールドウェポン]]|[[アーカルムの転世]]|アーカルム ポイント交換&br;探索で直接ドロップ|
|&attachref(img/1040015500.png,15%);|[[レッドサイクロン>武器/レッドサイクロン (SSR)]]|COLOR(red):火|剣|10|[[ザマン・ニハーヤ>武器奥義#zamannihaya]]|[[サウザンド・ドリーム>スキル一覧#thousanddream]]|[[果てなき修練>スキル一覧#hatenakisyuuren]]|||22|354|152|2122|[[シナリオイベント武器>武器概要/シナリオイベント武器]]|[[サイドストーリー]]|サウザンド・バウンド|
|&attachref(img/1040015600.png,15%);|エムブラスク・レプリカ|COLOR(purple):闇|剣|10|[[イモータル・アソールト>武器奥義#immortal]]|[[奈落の攻刃>スキル一覧#narakunokoujin]]|[[闇の守護>スキル一覧#yaminosyugo]]|||28|424|204|2497|特典|購入特典|AH-GC20/GBF|
|&attachref(img/1040015900.png,15%);|[[金属バット>武器/金属バット (SSR)]]|COLOR(green):風|剣|10|[[フルスイング>武器奥義#fullswing]]|[[摩武駄致>スキル一覧#mabudati]]|[[タイマンの極意>スキル一覧#taimannogokui]]|||21|360|150|2150|[[シナリオイベント武器>武器概要/シナリオイベント武器]]|イベント/シナリオイベント|蒼空の向こう側|
